county,Relation,Year,Median Rent (SEK),Map Label
Jämtland,52826,2022,986.0,Median Cost: 986 SEK
Norrbotten,52824,2022,1012.0,Median Cost: 1012 SEK
Värmland,54223,2022,1028.0,Median Cost: 1028 SEK
Kalmar,54417,2022,1039.0,Median Cost: 1039 SEK
Dalarna,52834,2022,1054.0,Median Cost: 1054 SEK
Västerbotten,52825,2022,1055.0,Median Cost: 1055 SEK
Kronoberg,54412,2022,1055.0,Median Cost: 1055 SEK
Jönköping,54374,2022,1062.0,Median Cost: 1062 SEK
Gävleborg,52832,2022,1064.0,Median Cost: 1064 SEK
Västernorrland,52827,2022,1082.0,Median Cost: 1082 SEK
Blekinge,54413,2022,1107.0,Median Cost: 1107 SEK
Västmanland,54221,2022,1110.0,Median Cost: 1110 SEK
Örebro,54222,2022,1142.0,Median Cost: 1142 SEK
Västra Götaland,54367,2022,1168.0,Median Cost: 1168 SEK
Södermanland,54386,2022,1175.0,Median Cost: 1175 SEK
Östergötland,940675,2022,1180.0,Median Cost: 1180 SEK
Gotland,941530,2022,1188.0,Median Cost: 1188 SEK
Halland,54403,2022,1197.0,Median Cost: 1197 SEK
Skåne,54409,2022,1240.0,Median Cost: 1240 SEK
Uppsala,54220,2022,1306.0,Median Cost: 1306 SEK
Stockholm,54391,2022,1386.0,Median Cost: 1386 SEK
